,Positions,Locations,Categories
0,"Executive Assistant (London, UK)","London, UK",Business
1,Legal Counsel,"San Francisco, CA",Business
2,Strategic Finance,"San Francisco, CA",Business
3,Data Scientist,"San Francisco, CA",Engineering
4,Data Scientist - Marketing,"San Francisco, CA",Engineering
5,Engineering Manager - Infrastructure,"San Francisco, CA",Engineering
6,Site Reliability Engineer,"San Francisco, CA",Engineering
7,Software Engineer,"San Francisco, CA",Engineering
8,Software Engineer - Editor,"San Francisco, CA",Engineering
9,"Software Engineer - Enterprise (New York, NY)","New York, NY",Engineering
10,Software Engineer - Infrastructure,"San Francisco, CA",Engineering
11,Software Engineer - Mobile,"San Francisco, CA",Engineering
12,Customer Operations,"San Francisco, CA",Marketing
13,"Designer Advocate, Education",SF or Remote,Marketing
14,Head of Creative,"San Francisco, CA",Marketing
15,"Marketing Manager (London, UK)","London, UK",Marketing
16,HR Operations,"San Francisco, CA",People
17,Technical Recruiter,"San Francisco, CA",People
18,"Product Manager, Editor Platform","San Francisco, CA",Product
19,Researcher,"San Francisco, CA",Product
20,"Account Executive, Enterprise (London, UK)","London, UK",Sales
21,Account Manager,"San Francisco, CA",Sales
22,"Strategic Account Manager (New York, NY)","New York, NY",Sales
