,Positions,Locations,Categories
0,Electrical Engineer,"Golden, Colorado",Hardware Engineering – Electronic Systems
1,Associate Electrical Engineer,"Golden, Colorado",Hardware Engineering – Embedded Electronics
2,Senior Accountant,"Golden, Colorado",Operations – Accounting and Finance
3,Systems Engineer - Functional Safety,"Golden, Colorado",Operations – Functional Safety
4,Head of Quality and Reliability,"Golden, Colorado",Operations – Quality and Reliability
5,Product Lead -- Automated Vehicles,"Golden, Colorado",Product Management – Autonomous Vehicles
6,Head of Autonomy,"Golden, Colorado",Software Engineering – Autonomy
7,Embedded Software Engineer,"Golden, Colorado",Software Engineering – Embedded Software
8,Senior Software Engineer - Autonomous Vehicle Motion Planning,"Golden, Colorado",Software Engineering – Motion Planning and Controls
9,Senior Software Engineer -- Multi-Robot Autonomy,"Golden, Colorado",Software Engineering – Multi-Robot Autonomy
10,Computer Vision and Machine Learning Engineer,"Golden, Colorado","Software Engineering – Perception, Computer Vision, and Machine Learning"
11,Machine Learning Engineer - Data Infrastructure,"Golden, Colorado","Software Engineering – Perception, Computer Vision, and Machine Learning"
12,Perception Engineer,"Golden, Colorado","Software Engineering – Perception, Computer Vision, and Machine Learning"
13,"Perception Engineer -- Localization, Mapping, and Calibration","Golden, Colorado","Software Engineering – Perception, Computer Vision, and Machine Learning"
14,Senior Software Engineer -- Autonomous Vehicle Sensor Architecture,"Golden, Colorado","Software Engineering – Perception, Computer Vision, and Machine Learning"
15,Software Engineer -- Autonomous Vehicle Platform and Tools,"Golden, Colorado",Software Engineering – Platform and Integration
16,Senior Robotics Software Engineer,"Golden, Colorado",Software Engineering – Robotic Manipulation
17,Senior Robotics Software Engineer - Manipulation,"Golden, Colorado",Software Engineering – Robotic Manipulation
18,Back-End Developer,"Golden, Colorado",Software Engineering – Vehicle Connectivity
19,Front-End Developer,"Golden, Colorado",Software Engineering – Vehicle Connectivity
20,Technical Program Manager,"Golden, Colorado",Systems Engineering – Program Management
21,Autonomous Vehicle Safety Integration and Test Engineer,"Golden, Colorado",Systems Engineering – System Integration and Test
22,Autonomous Vehicle Software Test Engineer,"Golden, Colorado",Systems Engineering – System Integration and Test
23,Autonomous Vehicle System Integration and Test Engineer,"Golden, Colorado",Systems Engineering – System Integration and Test
24,Director of System Integration and Test Engineering,"Golden, Colorado",Systems Engineering – System Integration and Test
25,Senior Software Test Engineer,"Golden, Colorado",Systems Engineering – System Integration and Test
26,Simulation Software Test Engineer - Autonomous Vehicles,"Golden, Colorado",Systems Engineering – System Integration and Test
27,Senior Systems Engineer,"Golden, Colorado",Systems Engineering – Systems Performance
