,Positions,Locations,Categories
0,Application Engineer / Administrator,Rotterdam,App Factory
1,Mendix Developer,Rotterdam,App Factory
2,Senior Mendix Developer,Rotterdam,App Factory
3,Customer Success Manager - APAC/ANZ,Singapore,Customer Success
4,Customer Success Manager - China and SEA,Shanghai,Customer Success
5,"Technical Lead, Expert Services","Boston, MA | Philadelphia, PA | Seattle, WA | Los Angeles, CA",Expert Services
6,Business Analyst,Rotterdam,G&A
7,Data Quality Manager,Rotterdam,G&A
8,Global Employee Experience Manager,"Boston, MA",G&A
9,Global Employee Experience Manager,Rotterdam,G&A
10,Medior System Administrator,Rotterdam,G&A
11,Mendix Developer - P&C,"Boston, MA",G&A
12,Campaign Marketing Manager,"Boston, MA",Marketing
13,Presales Enablement Manager,London,Marketing
14,Senior Marketing Programs Associate,Rotterdam,Marketing
15,Senior Partner Marketing Manager EMEA,Rotterdam,Marketing
16,Sales Operations Manager APAC,Singapore,Operations
17,Senior Sales Ops Analyst,"Boston, MA",Operations
18,"Sr. Manager, Global Customer Success Operations","Boston, MA",Operations
19,C# Developer,Rotterdam,R&D
20,Cloud Foundry / Cloud Platform Engineer,Pune I India,R&D
21,Cloud Foundry / Cloud Platform Engineer,Rotterdam,R&D
22,Cloud Operations Engineer,Rotterdam,R&D
23,DevOps Engineer,Rotterdam,R&D
24,Front-End Developer,Rotterdam,R&D
25,Front-end Developer (mobile app),Rotterdam,R&D
26,Full-stack Developer (Scala/Java),Rotterdam,R&D
27,Kubernetes DevOps Engineer - Pune,Pune I India,R&D
28,Manager Quality Compliance,Rotterdam,R&D
29,Mendix expert developer,Rotterdam,R&D
30,R&D - Team Lead,Rotterdam,R&D
31,Scala Developer,Rotterdam,R&D
32,Scala Developer (Integration),Rotterdam,R&D
33,Senior Java Developer - Identity Services,Rotterdam,R&D
34,Senior Product Manager End User Experience and Identity Management,Rotterdam,R&D
35,Senior Software Developer - Licensing and Metering team,Rotterdam,R&D
36,Team Lead Cloud Operations,Rotterdam,R&D
37,Test Engineer (automation),Rotterdam,R&D
38,Test Engineer R&D,Rotterdam,R&D
39,Account Executive,London,Sales
40,Business Development Representative - APAC/ANZ,Singapore,Sales
41,Business Development Representative - SEA,Singapore,Sales
42,Enterprise Account Executive,Paris,Sales
43,Enterprise Account Executive - MFI,Paris,Sales
44,Enterprise Account Executive (m/f/d),Frankfurt | Cologne | Stuttgart |  Hamburg |  Berlin | Nuremberg |  Hannover | Dortmund | Munich,Sales
45,Partner Manager,UAE,Sales
46,Partner Manager Belgium and France,Brussel,Sales
47,Partner Manager Nordics,Stockholm,Sales
48,Partner Manager Southern and Eastern Europe,Milano | Genova | Modena | Napoli | Rome | Torino | Treviso,Sales
49,PreSales Executive Hong Kong and Southern China,Hong Kong,Sales
50,PreSales Executive Singapore and ASEAN,Singapore,Sales
51,Sales Engineer (m/f/d) Mendix for Industries,Frankfurt | Stuttgart | Hamburg | Berlin | Nuremberg | Hannover,Sales
52,Sales Engineer (m/f/d) Service Industry,Frankfurt | Stuttgart | Hamburg | Berlin | Nuremberg | Hannover,Sales
53,Senior Account Executive | Southwest,"Los Angeles, CA | Orange County",Sales
54,Senior Presales Engineer - Benelux,Rotterdam,Sales
55,Senior Solution Architect,Shanghai,Sales
56,Strategic Account Specialist | Aerospace & Defense,US,Sales
57,"SVP, Sales - Americas","Boston, MA",Sales
58,Territory Manager - Sales Specialist,Singapore,Sales
59,Territory Manager - Sales Specialist,China,Sales
60,Territory Manager - Sales Specialist (Hong Kong),Hong Kong,Sales
