,Positions,Locations,Categories
0,Customer Success Engineer,"San Francisco, CA",Customer Success
1,Machine Learning Engineer,"San Francisco, CA",Engineering
2,Senior Front End Engineer,"San Francisco, CA",Engineering
3,Senior Software Engineer - Database Engineering,"San Francisco, CA",Engineering
4,Brand and Communications Designer,"San Francisco, CA",Marketing
5,Executive Assistant to the Founder and CEO,"San Francisco, CA",Operations
6,Product Designer,"San Francisco, CA",Product and Design
7,Product Manager,"San Francisco, CA",Product and Design
8,Data Solutions Engineer,"San Francisco, CA",Sales
9,Senior Sales Development Representative,"San Francisco, CA",Sales
