,Positions,Locations,Categories
0,Paralegal,"Plano, TX",General and Administrative – Legal
1,Executive Assistant,"New York, NY",General and Administrative – People Operations
2,Learning Program Manager,"Plano, TX",General and Administrative – People Operations
3,Head of Revenue,"New York, NY",Growth – Sales
4,Senior Backend Engineer,"New York, NY","Product, Data, and Engineering – Engineering"
5,VP of Engineering,"New York, NY","Product, Data, and Engineering – Engineering"
6,Product Lead (contract),"New York, NY","Product, Data, and Engineering – Product"
7,Senior Product Manager,"New York, NY","Product, Data, and Engineering – Product"
8,Document Coordinator,"Plano, TX",Real Estate Operations – Post-closing
9,Quality Coordinator,"Plano, TX",Real Estate Operations – Post-closing
10,New Client Operations Manager,"Plano, TX",Real Estate Operations – Title
11,See yourself at Spruce,"New York, NY",The future – Make yourself at home at Spruce
