,Positions,Locations,Categories
0,Enterprise Customer Success Manager - Remote (West/Central),"San Francisco, CA",Customer Success – Customer Success
1,Technical Product Support Engineer,"Bengaluru, India",Customer Success – Technical Product Support
2,Backend Engineer - Java,"Sunnyvale, CA",Engineering – Engineering
3,Data Platform Software Engineer,"Sunnyvale, CA",Engineering – Engineering
4,Engineering Manager,"Bengaluru, India",Engineering – Engineering
5,Head of Data Science,"Sunnyvale, CA",Engineering – Engineering
6,Lead Software Engineer - Analytics,"Sunnyvale, CA",Engineering – Engineering
7,Principal Engineer,"Bengaluru, India",Engineering – Engineering
8,Senior Backend Software Engineer,"Sunnyvale, CA",Engineering – Engineering
9,Senior Data Platform Software Engineer,"Sunnyvale, CA",Engineering – Engineering
10,Senior Software Engineer,"Bengaluru, India",Engineering – Engineering
11,Senior Software Engineer - Cloud Infrastructure,"Seattle, WA",Engineering – Engineering
12,Senior Software Engineer - Cloud Infrastructure,"Austin, TX",Engineering – Engineering
13,Software Engineer - Cloud Infrastructure,"Sunnyvale, CA",Engineering – Engineering
14,Platform Product Manager,"Sunnyvale, CA",Product Management – Product Management
15,Product Manager - Core Web & Mobile Applications,"Sunnyvale, CA",Product Management – Product Management
16,Enterprise Account Executive - Bay Area,"Sunnyvale, CA",Sales – Sales
