,Positions,Locations,Categories
0,Customer Success Implementation Engineer,"San Francisco, CA",Customer Success
1,Customer Success Support Specialist,"San Francisco, CA",Customer Success
2,Technical Support Engineer,"San Francisco, CA",Customer Success
3,"VP, Customer Success","San Francisco, CA",Customer Success
4,Full Stack Engineer,"San Francisco, CA",Engineering
5,Integrations Engineer,"San Francisco, CA",Engineering
6,Senior Backend Engineer (Platform),"San Francisco, CA",Engineering
7,Senior Full Stack Engineer,"San Francisco, CA",Engineering
8,"VP, Engineering","San Francisco, CA",Engineering
9,Graphic & Brand Designer,"San Francisco, CA",Marketing
10,Growth Operations Manager,"San Francisco, CA",Marketing
11,Paid Acquisition Manager,"San Francisco, CA",Marketing
12,Lead Recruiter,"San Francisco, CA",Operations
13,Product Manager,"San Francisco, CA",Product
14,UX/UI Designer,"San Francisco, CA",Product
15,Account Executive,"San Francisco, CA",Sales
16,Channel Sales Director,"San Francisco, CA",Sales
17,Sales Development Director,"San Francisco, CA",Sales
18,Sales Development Representative,"San Francisco, CA",Sales
