,Positions,Locations,Categories
0,Account Manager,"San Francisco, CA",Customer Success – Account Management
1,Financial Analyst,"San Francisco, CA",Finance – Analyst
2,Strategic Partnership Manager,"San Francisco, CA",Marketing – Partnerships
3,Marketing Analyst,"San Francisco, CA",Marketing – Product Marketing
4,Senior Project Manager,"San Francisco, CA",Operations – Project Management
5,Recruiting Coordinator,"San Francisco, CA",People – Recruiting
6,Sales Recruiter,"San Francisco, CA",People – Recruiting
7,Talent Acquisition Manager,"San Francisco, CA",People – Recruiting
8,Product Designer,"San Francisco, CA",Research & Development – Design
9,Backend Engineer,"San Francisco, CA",Research & Development – Engineering
10,Front-end Developer,"San Francisco, CA",Research & Development – Engineering
11,Associate Product Manager,"San Francisco, CA",Research & Development – Product
12,UX Designer,"Boston, MA",Research & Development – Product
13,Account Executive,"San Francisco, CA",Sales – Account Executive
14,Senior Account Executive,"San Francisco, CA",Sales – Account Executive
15,Sales Operations Specialist,"San Francisco, CA",Sales – Operations
16,Sales Engineer,"Boston, MA",Sales – Sales Engineering
17,Senior Sales Engineer,"San Francisco, CA",Sales – Sales Engineering
18,Director of IT & Security,"San Francisco, CA",Security & IT – IT
