,Positions,Locations,Categories
0,Customer Engineer (Remote),"San Francisco, CA",Customer support
1,Software Engineer – Backend (Remote),"San Francisco, CA",Engineering
2,Software Engineer – Code intelligence (Remote),"San Francisco, CA",Engineering
3,Software Engineer – Distribution (Remote),"San Francisco, CA",Engineering
4,Software Engineer – Frontend (Remote),"San Francisco, CA",Engineering
5,Software Engineer – Security (Remote),"San Francisco, CA",Engineering
6,Developer Advocate (Remote),"San Francisco, CA",Marketing
7,Financial Planning & Analysis Analyst,Remote,Operations
8,Sales Strategy & Operations Analyst,Remote,Operations
9,Senior Commercial Counsel,Remote,Operations
10,Product Manager (Remote),"San Francisco, CA",Product
11,Account Executive (Remote),"San Francisco, CA",Sales
