,Positions,Locations,Categories
0,Professional Services Manager,New York,Customer Services – Services USA
1,Professional Services Manager,Raleigh,Customer Services – Services USA
2,DeepUI Solution Engineer,Tel Aviv,Development – R&D
3,Devops Team Leader,Tel Aviv,Development – R&D
4,Senior Data Engineer,Tel Aviv,Development – R&D
5,Senior Full stack Developer,Tel Aviv,Development – R&D
6,Senior Full-Stack Team Lead,Tel Aviv,Development – R&D
7,Senior Software Developer,Tel Aviv,Development – R&D
8,Bookkeeper,Tel Aviv,General & Administrative – Finance
9,"Diversity, Inclusion & Belonging Director",San Francisco,General & Administrative – HR
10,OCIO and Project Manager,Tel Aviv,General & Administrative – Tech Ops
11,Salesforce Administrator,Tel Aviv,General & Administrative – Tech Ops
12,IT Help Desk Specialist,Tel Aviv,General & Administrative – Tech Ops IT
13,System Administrator,Tel Aviv,General & Administrative – Tech Ops IT
14,Email Marketing Specialist - Temporary Position,Tel Aviv,Marketing – Marketing
15,Graphic Designer,Tel Aviv,Marketing – Marketing
16,Social Media Expert,Tel Aviv,Marketing – Marketing
17,Product Director,Tel Aviv,Product – Product Management
18,"Analyst, Sales Operations",San Francisco,Sales – Sales Operations
19,Deal Desk Manager,San Francisco,Sales – Sales Operations
20,Director of Sales Operations,San Francisco,Sales – Sales Operations
21,"Operations Manager, Revenue Retention",San Francisco,Sales – Sales Operations
22,Sales Compensation Analyst,San Francisco,Sales – Sales Operations
23,Account Executive - Enterprise Sales,San Francisco,Sales – Sales USA
24,Account Executive - Strategic Sales,San Francisco,Sales – Sales USA
25,Account Executive - Strategic Sales,Boston,Sales – Sales USA
26,Account Manager,San Francisco,Sales – Sales USA
27,Account Manager,New York,Sales – Sales USA
28,Business Development Representative,San Francisco,Sales – Sales USA
29,Business Development Representative,Raleigh,Sales – Sales USA
30,"Sales Engineer,  Enterprise",San Francisco,Sales – Sales USA
31,"Sales Engineer, Strategic",New York,Sales – Sales USA
32,"Sales Engineer, Strategic",Raleigh,Sales – Sales USA
33,Account Executive - Strategic Sales,Toronto,Sales – Sales World
34,Enterprise Account Manager,Tel Aviv,Sales – Sales World
35,Manager of Account Management - ANZ,Sydney,Sales – Sales World
36,Manager of Strategic Account Management,London,Sales – Sales World
37,Strategic Account Manager,London,Sales – Sales World
38,Strategic Account Manager,Tel Aviv,Sales – Sales World
39,Strategic Account Manager - ANZ,Sydney,Sales – Sales World
40,Strategic Account Manager - Singapore,Singapore,Sales – Sales World
41,Product Enablement Lead,Tel Aviv,Support – Support
42,"Technical Support Engineer, Tier 1 (Swing Shift)",Raleigh,Support – Support
