,Positions,Locations,Categories
0,Senior Customer Success Engineer - Remote/SF Bay Area,United States,Customer Success
1,Sr Solutions Architect - Remote,United States,Customer Success
2,Technical Customer Success Manager - Remote US,United States,Customer Success
3,Technical Customer Success Manager - SF Bay Area,West,Customer Success
4,Senior Build & Release Engineer (Bangalore),"Bangalore, India",Engineering
5,Senior Software Engineer - Backend CDC (Bangalore),"Bangalore, India",Engineering
6,Senior Software Engineer - Frontend (Bangalore),"Bangalore, India",Engineering
7,Sr Product Designer,"San Francisco, CA",Engineering
8,Sr Product Manager (Bangalore),"Bangalore, India",Engineering
9,Staff Software Engineer - Backend (Bangalore) (CDC),"Bangalore, India",Engineering
10,Staff Software Engineer - Backend (Bangalore) (CDP),"Bangalore, India",Engineering
11,Staff Software Engineer - Backend (Bangalore) (Platform),"Bangalore, India",Engineering
12,Technical Lead - Platform Engineering,Remote,Engineering
13,Commercial Sales Engineer Engineer - Remote,Remote,Sales
14,Territory Development Representative - UK,London,Sales
15,Territory Development Representative (Spanish Speaking),"Dallas, TX",Sales
